state,release_period,nurse_communication,doctor_communication,staff_responsiveness,recommend_hospital,communication_score,experience_score,executive_satisfaction_index
AK,07_2015,74.0,75.0,68.0,70.0,74.5,68.0,70.94999999999999
AK,07_2016,78.0,82.0,73.0,69.0,80.0,73.0,73.1
AK,07_2017,76.0,80.0,70.0,69.0,78.0,70.0,71.9
AK,07_2018,79.0,80.0,73.0,74.0,79.5,73.0,75.44999999999999
AK,07_2019,80.0,79.0,69.0,66.0,79.5,69.0,70.64999999999999
AK,07_2020,78.0,82.0,73.0,74.0,80.0,73.0,75.6
AK,07_2021,79.0,82.0,77.0,70.0,80.5,77.0,74.55
AK,07_2022,78.0,79.0,65.0,69.0,78.5,65.0,71.05
AK,07_2023,80.0,81.0,66.0,73.0,80.5,66.0,73.85
AL,07_2015,81.0,86.0,69.0,71.0,83.5,69.0,74.35
AL,07_2016,81.0,86.0,69.0,71.0,83.5,69.0,74.35
AL,07_2017,82.0,86.0,70.0,71.0,84.0,70.0,74.7
AL,07_2018,81.0,84.0,71.0,71.0,82.5,71.0,74.45
AL,07_2019,82.0,84.0,73.0,71.0,83.0,73.0,75.0
AL,07_2020,81.0,84.0,73.0,70.0,82.5,73.0,74.35
AL,07_2021,82.0,84.0,72.0,70.0,83.0,72.0,74.3
AL,07_2022,81.0,83.0,68.0,69.0,82.0,68.0,72.69999999999999
AL,07_2023,80.0,82.0,68.0,68.0,81.0,68.0,71.9
AR,07_2015,80.0,84.0,69.0,68.0,82.0,69.0,72.39999999999999
AR,07_2016,80.0,85.0,69.0,70.0,82.5,69.0,73.55
AR,07_2017,81.0,84.0,70.0,70.0,82.5,70.0,73.75
AR,07_2018,81.0,84.0,72.0,71.0,82.5,72.0,74.65
AR,07_2019,81.0,83.0,72.0,71.0,82.0,72.0,74.5
AR,07_2020,81.0,84.0,72.0,71.0,82.5,72.0,74.65
AR,07_2021,81.0,84.0,71.0,71.0,82.5,71.0,74.45
AR,07_2022,80.0,83.0,67.0,69.0,81.5,67.0,72.35000000000001
AR,07_2023,81.0,83.0,69.0,70.0,82.0,69.0,73.39999999999999
AZ,07_2015,77.0,78.0,66.0,70.0,77.5,66.0,71.45
AZ,07_2016,77.0,77.0,66.0,70.0,77.0,66.0,71.3
AZ,07_2017,77.0,77.0,64.0,69.0,77.0,64.0,70.39999999999999
AZ,07_2018,77.0,77.0,67.0,70.0,77.0,67.0,71.5
AZ,07_2019,78.0,77.0,67.0,70.0,77.5,67.0,71.65
AZ,07_2020,77.0,76.0,67.0,69.0,76.5,67.0,70.85000000000001
AZ,07_2021,77.0,77.0,67.0,69.0,77.0,67.0,71.0
AZ,07_2022,76.0,75.0,62.0,68.0,75.5,62.0,69.05
AZ,07_2023,75.0,75.0,61.0,65.0,75.0,61.0,67.2
CA,07_2015,75.0,78.0,62.0,70.0,76.5,62.0,70.35000000000001
CA,07_2016,75.0,78.0,62.0,69.0,76.5,62.0,69.85000000000001
CA,07_2017,75.0,78.0,61.0,70.0,76.5,61.0,70.15
CA,07_2018,76.0,78.0,63.0,70.0,77.0,63.0,70.69999999999999
CA,07_2019,76.0,77.0,64.0,70.0,76.5,64.0,70.75
CA,07_2020,77.0,78.0,64.0,71.0,77.5,64.0,71.55
CA,07_2021,77.0,78.0,64.0,70.0,77.5,64.0,71.05
CA,07_2022,75.0,76.0,61.0,69.0,75.5,61.0,69.35
CA,07_2023,74.0,75.0,59.0,66.0,74.5,59.0,67.14999999999999
CO,07_2015,79.0,81.0,69.0,74.0,80.0,69.0,74.8
CO,07_2016,80.0,82.0,70.0,75.0,81.0,70.0,75.8
CO,07_2017,81.0,82.0,70.0,76.0,81.5,70.0,76.45
CO,07_2018,80.0,81.0,72.0,76.0,80.5,72.0,76.55
CO,07_2019,80.0,82.0,72.0,75.0,81.0,72.0,76.2
CO,07_2020,82.0,83.0,73.0,76.0,82.5,73.0,77.35
CO,07_2021,82.0,83.0,73.0,76.0,82.5,73.0,77.35
CO,07_2022,81.0,82.0,70.0,75.0,81.5,70.0,75.95
CO,07_2023,80.0,80.0,68.0,74.0,80.0,68.0,74.6
CT,07_2015,79.0,80.0,65.0,71.0,79.5,65.0,72.35
CT,07_2016,80.0,79.0,64.0,70.0,79.5,64.0,71.64999999999999
CT,07_2017,80.0,79.0,65.0,70.0,79.5,65.0,71.85
CT,07_2018,79.0,79.0,64.0,72.0,79.0,64.0,72.5
CT,07_2019,80.0,80.0,65.0,72.0,80.0,65.0,73.0
CT,07_2020,80.0,80.0,65.0,73.0,80.0,65.0,73.5
CT,07_2021,80.0,80.0,65.0,71.0,80.0,65.0,72.5
CT,07_2022,78.0,78.0,60.0,70.0,78.0,60.0,70.4
CT,07_2023,77.0,77.0,58.0,67.0,77.0,58.0,68.19999999999999
DC,07_2015,70.0,77.0,54.0,61.0,73.5,54.0,63.349999999999994
DC,07_2016,70.0,77.0,52.0,60.0,73.5,52.0,62.449999999999996
DC,07_2017,71.0,77.0,53.0,60.0,74.0,53.0,62.800000000000004
DC,07_2018,71.0,76.0,52.0,63.0,73.5,52.0,63.949999999999996
DC,07_2019,70.0,76.0,54.0,61.0,73.0,54.0,63.2
DC,07_2020,70.0,76.0,55.0,61.0,73.0,55.0,63.4
DC,07_2021,71.0,77.0,57.0,62.0,74.0,57.0,64.60000000000001
DC,07_2022,71.0,78.0,53.0,62.0,74.5,53.0,63.949999999999996
DC,07_2023,70.0,78.0,48.0,59.0,74.0,48.0,61.300000000000004
DE,07_2015,79.0,78.0,67.0,67.0,78.5,67.0,70.45
DE,07_2016,80.0,79.0,68.0,69.0,79.5,68.0,71.94999999999999
DE,07_2017,81.0,80.0,68.0,70.0,80.5,68.0,72.75
DE,07_2018,81.0,80.0,69.0,71.0,80.5,69.0,73.45
DE,07_2019,81.0,80.0,69.0,69.0,80.5,69.0,72.45
DE,07_2020,81.0,79.0,69.0,70.0,80.0,69.0,72.8
DE,07_2021,80.0,79.0,68.0,70.0,79.5,68.0,72.44999999999999
DE,07_2022,77.0,77.0,63.0,67.0,77.0,63.0,69.19999999999999
DE,07_2023,76.0,75.0,59.0,63.0,75.5,59.0,65.95
FL,07_2015,76.0,78.0,62.0,69.0,77.0,62.0,70.0
FL,07_2016,76.0,78.0,63.0,69.0,77.0,63.0,70.19999999999999
FL,07_2017,77.0,78.0,63.0,69.0,77.5,63.0,70.35
FL,07_2018,77.0,77.0,63.0,70.0,77.0,63.0,70.69999999999999
FL,07_2019,76.0,76.0,64.0,69.0,76.0,64.0,70.1
FL,07_2020,77.0,77.0,65.0,69.0,77.0,65.0,70.6
FL,07_2021,77.0,77.0,64.0,70.0,77.0,64.0,70.89999999999999
FL,07_2022,75.0,75.0,59.0,67.0,75.0,59.0,67.8
FL,07_2023,74.0,74.0,58.0,65.0,74.0,58.0,66.30000000000001
GA,07_2015,79.0,83.0,66.0,69.0,81.0,66.0,72.0
GA,07_2016,79.0,83.0,67.0,70.0,81.0,67.0,72.7
GA,07_2017,80.0,83.0,66.0,71.0,81.5,66.0,73.15
GA,07_2018,80.0,82.0,67.0,70.0,81.0,67.0,72.7
GA,07_2019,79.0,82.0,67.0,70.0,80.5,67.0,72.55
GA,07_2020,80.0,82.0,67.0,70.0,81.0,67.0,72.7
GA,07_2021,80.0,82.0,67.0,70.0,81.0,67.0,72.7
GA,07_2022,78.0,80.0,63.0,69.0,79.0,63.0,70.80000000000001
GA,07_2023,78.0,79.0,63.0,67.0,78.5,63.0,69.65
HI,07_2015,79.0,81.0,68.0,72.0,80.0,68.0,73.6
HI,07_2016,81.0,82.0,70.0,73.0,81.5,70.0,74.95
HI,07_2017,82.0,83.0,71.0,74.0,82.5,71.0,75.95
HI,07_2018,79.0,81.0,68.0,72.0,80.0,68.0,73.6
HI,07_2019,79.0,82.0,68.0,72.0,80.5,68.0,73.75
HI,07_2020,81.0,82.0,67.0,71.0,81.5,67.0,73.35000000000001
HI,07_2021,80.0,83.0,68.0,69.0,81.5,68.0,72.55000000000001
HI,07_2022,78.0,78.0,65.0,68.0,78.0,65.0,70.4
HI,07_2023,79.0,79.0,64.0,66.0,79.0,64.0,69.5
IA,07_2015,82.0,84.0,71.0,75.0,83.0,71.0,76.6
IA,07_2016,82.0,84.0,72.0,74.0,83.0,72.0,76.3
IA,07_2017,82.0,85.0,72.0,76.0,83.5,72.0,77.45
IA,07_2018,82.0,84.0,72.0,76.0,83.0,72.0,77.3
IA,07_2019,83.0,84.0,73.0,76.0,83.5,73.0,77.65
IA,07_2020,84.0,85.0,74.0,76.0,84.5,74.0,78.14999999999999
IA,07_2021,84.0,85.0,74.0,76.0,84.5,74.0,78.14999999999999
IA,07_2022,83.0,83.0,72.0,76.0,83.0,72.0,77.3
IA,07_2023,83.0,82.0,71.0,75.0,82.5,71.0,76.45
ID,07_2015,81.0,84.0,73.0,75.0,82.5,73.0,76.85
ID,07_2016,81.0,84.0,75.0,73.0,82.5,75.0,76.25
ID,07_2017,81.0,84.0,75.0,75.0,82.5,75.0,77.25
ID,07_2018,82.0,85.0,75.0,76.0,83.5,75.0,78.05
ID,07_2019,82.0,84.0,75.0,76.0,83.0,75.0,77.9
ID,07_2020,83.0,84.0,75.0,76.0,83.5,75.0,78.05
ID,07_2021,82.0,84.0,75.0,75.0,83.0,75.0,77.4
ID,07_2022,83.0,84.0,73.0,74.0,83.5,73.0,76.65
ID,07_2023,82.0,83.0,71.0,74.0,82.5,71.0,75.95
IL,07_2015,80.0,82.0,68.0,70.0,81.0,68.0,72.9
IL,07_2016,80.0,81.0,68.0,71.0,80.5,68.0,73.25
IL,07_2017,81.0,82.0,69.0,71.0,81.5,69.0,73.75
IL,07_2018,81.0,81.0,69.0,70.0,81.0,69.0,73.1
IL,07_2019,81.0,81.0,69.0,70.0,81.0,69.0,73.1
IL,07_2020,81.0,81.0,69.0,71.0,81.0,69.0,73.6
IL,07_2021,81.0,81.0,69.0,70.0,81.0,69.0,73.1
IL,07_2022,79.0,79.0,65.0,69.0,79.0,65.0,71.2
IL,07_2023,78.0,78.0,63.0,66.0,78.0,63.0,69.0
IN,07_2015,82.0,83.0,71.0,73.0,82.5,71.0,75.45
IN,07_2016,82.0,82.0,71.0,73.0,82.0,71.0,75.3
IN,07_2017,82.0,82.0,71.0,74.0,82.0,71.0,75.8
IN,07_2018,82.0,82.0,71.0,74.0,82.0,71.0,75.8
IN,07_2019,81.0,81.0,71.0,73.0,81.0,71.0,75.0
IN,07_2020,81.0,81.0,70.0,72.0,81.0,70.0,74.3
IN,07_2021,81.0,81.0,70.0,73.0,81.0,70.0,74.8
IN,07_2022,80.0,79.0,66.0,71.0,79.5,66.0,72.55
IN,07_2023,79.0,79.0,66.0,71.0,79.0,66.0,72.4
KS,07_2015,81.0,86.0,72.0,76.0,83.5,72.0,77.45
KS,07_2016,82.0,85.0,73.0,76.0,83.5,73.0,77.65
KS,07_2017,83.0,86.0,74.0,77.0,84.5,74.0,78.64999999999999
KS,07_2018,82.0,85.0,76.0,77.0,83.5,76.0,78.75
KS,07_2019,83.0,84.0,77.0,77.0,83.5,77.0,78.95
KS,07_2020,83.0,85.0,77.0,78.0,84.0,77.0,79.60000000000001
KS,07_2021,83.0,85.0,76.0,78.0,84.0,76.0,79.4
KS,07_2022,82.0,84.0,72.0,76.0,83.0,72.0,77.3
KS,07_2023,82.0,84.0,72.0,75.0,83.0,72.0,76.8
KY,07_2015,81.0,85.0,69.0,71.0,83.0,69.0,74.2
KY,07_2016,81.0,84.0,69.0,70.0,82.5,69.0,73.55
KY,07_2017,82.0,85.0,70.0,72.0,83.5,70.0,75.05
KY,07_2018,82.0,84.0,69.0,71.0,83.0,69.0,74.2
KY,07_2019,81.0,83.0,70.0,70.0,82.0,70.0,73.6
KY,07_2020,81.0,83.0,69.0,70.0,82.0,69.0,73.39999999999999
KY,07_2021,81.0,83.0,69.0,70.0,82.0,69.0,73.39999999999999
KY,07_2022,81.0,82.0,66.0,69.0,81.5,66.0,72.15
KY,07_2023,79.0,80.0,65.0,67.0,79.5,65.0,70.35
LA,07_2015,84.0,87.0,73.0,75.0,85.5,73.0,77.75
LA,07_2016,84.0,88.0,73.0,77.0,86.0,73.0,78.9
LA,07_2017,84.0,88.0,73.0,76.0,86.0,73.0,78.4
LA,07_2018,85.0,87.0,74.0,76.0,86.0,74.0,78.6
LA,07_2019,85.0,86.0,75.0,76.0,85.5,75.0,78.65
LA,07_2020,85.0,86.0,75.0,76.0,85.5,75.0,78.65
LA,07_2021,85.0,86.0,75.0,76.0,85.5,75.0,78.65
LA,07_2022,84.0,85.0,71.0,75.0,84.5,71.0,77.05
LA,07_2023,83.0,85.0,70.0,73.0,84.0,70.0,75.7
MA,07_2015,80.0,80.0,66.0,74.0,80.0,66.0,74.2
MA,07_2016,80.0,81.0,66.0,74.0,80.5,66.0,74.35
MA,07_2017,81.0,81.0,67.0,74.0,81.0,67.0,74.7
MA,07_2018,81.0,81.0,66.0,74.0,81.0,66.0,74.5
MA,07_2019,81.0,80.0,65.0,73.0,80.5,65.0,73.65
MA,07_2020,81.0,80.0,66.0,73.0,80.5,66.0,73.85
MA,07_2021,81.0,80.0,66.0,73.0,80.5,66.0,73.85
MA,07_2022,80.0,79.0,63.0,71.0,79.5,63.0,71.94999999999999
MA,07_2023,78.0,78.0,59.0,69.0,78.0,59.0,69.7
MD,07_2015,76.0,78.0,60.0,67.0,77.0,60.0,68.6
MD,07_2017,76.0,78.0,60.0,65.0,77.0,60.0,67.6
MD,07_2018,76.0,78.0,61.0,67.0,77.0,61.0,68.8
MD,07_2019,76.0,77.0,60.0,65.0,76.5,60.0,67.45
MD,07_2020,76.0,78.0,62.0,66.0,77.0,62.0,68.5
MD,07_2021,76.0,77.0,61.0,66.0,76.5,61.0,68.15
MD,07_2022,75.0,76.0,57.0,65.0,75.5,57.0,66.55
MD,07_2023,74.0,76.0,56.0,63.0,75.0,56.0,65.2
ME,07_2015,83.0,84.0,72.0,76.0,83.5,72.0,77.45
ME,07_2016,83.0,83.0,71.0,76.0,83.0,71.0,77.1
ME,07_2017,83.0,83.0,72.0,76.0,83.0,72.0,77.3
ME,07_2018,83.0,83.0,72.0,75.0,83.0,72.0,76.8
ME,07_2019,84.0,83.0,73.0,75.0,83.5,73.0,77.15
ME,07_2020,84.0,84.0,73.0,76.0,84.0,73.0,77.80000000000001
ME,07_2021,85.0,84.0,73.0,75.0,84.5,73.0,77.44999999999999
ME,07_2022,84.0,83.0,70.0,75.0,83.5,70.0,76.55
ME,07_2023,82.0,81.0,68.0,71.0,81.5,68.0,73.55000000000001
MI,07_2015,80.0,81.0,70.0,71.0,80.5,70.0,73.65
MI,07_2016,81.0,81.0,71.0,71.0,81.0,71.0,74.0
MI,07_2017,81.0,81.0,71.0,72.0,81.0,71.0,74.5
MI,07_2018,82.0,81.0,73.0,72.0,81.5,73.0,75.05000000000001
MI,07_2019,82.0,80.0,73.0,71.0,81.0,73.0,74.4
MI,07_2020,82.0,81.0,73.0,72.0,81.5,73.0,75.05000000000001
MI,07_2021,82.0,80.0,73.0,72.0,81.0,73.0,74.9
MI,07_2022,82.0,80.0,70.0,70.0,81.0,70.0,73.3
MI,07_2023,80.0,78.0,68.0,68.0,79.0,68.0,71.30000000000001
MN,07_2015,81.0,84.0,73.0,74.0,82.5,73.0,76.35
MN,07_2016,82.0,84.0,75.0,76.0,83.0,75.0,77.9
MN,07_2017,83.0,84.0,75.0,76.0,83.5,75.0,78.05
MN,07_2018,83.0,84.0,75.0,76.0,83.5,75.0,78.05
MN,07_2019,84.0,85.0,76.0,77.0,84.5,76.0,79.05
MN,07_2020,84.0,85.0,76.0,76.0,84.5,76.0,78.55
MN,07_2021,84.0,85.0,76.0,77.0,84.5,76.0,79.05
MN,07_2022,84.0,85.0,75.0,77.0,84.5,75.0,78.85
MN,07_2023,83.0,84.0,73.0,75.0,83.5,73.0,77.15
MO,07_2015,79.0,82.0,67.0,71.0,80.5,67.0,73.05
MO,07_2016,79.0,82.0,67.0,69.0,80.5,67.0,72.05
MO,07_2017,80.0,82.0,67.0,70.0,81.0,67.0,72.7
MO,07_2018,80.0,82.0,68.0,71.0,81.0,68.0,73.4
MO,07_2019,79.0,81.0,69.0,70.0,80.0,69.0,72.8
MO,07_2020,80.0,81.0,68.0,70.0,80.5,68.0,72.75
MO,07_2021,81.0,81.0,69.0,70.0,81.0,69.0,73.1
MO,07_2022,80.0,80.0,65.0,69.0,80.0,65.0,71.5
MO,07_2023,79.0,79.0,64.0,68.0,79.0,64.0,70.5
MS,07_2015,81.0,87.0,69.0,70.0,84.0,69.0,74.0
MS,07_2016,82.0,86.0,70.0,70.0,84.0,70.0,74.2
