state,release_period,nurse_communication,doctor_communication,staff_responsiveness,recommend_hospital,communication_score,experience_score,executive_satisfaction_index
MS,07_2017,82.0,87.0,70.0,70.0,84.5,70.0,74.35
MS,07_2018,83.0,87.0,73.0,71.0,85.0,73.0,75.6
MS,07_2019,83.0,86.0,73.0,71.0,84.5,73.0,75.44999999999999
MS,07_2020,83.0,86.0,72.0,70.0,84.5,72.0,74.75
MS,07_2021,83.0,86.0,72.0,69.0,84.5,72.0,74.25
MS,07_2022,83.0,85.0,71.0,71.0,84.0,71.0,74.9
MS,07_2023,82.0,85.0,71.0,70.0,83.5,71.0,74.25
MT,07_2015,79.0,83.0,69.0,69.0,81.0,69.0,72.6
MT,07_2016,80.0,84.0,74.0,71.0,82.0,74.0,74.89999999999999
MT,07_2017,80.0,82.0,73.0,72.0,81.0,73.0,74.9
MT,07_2018,80.0,84.0,73.0,70.0,82.0,73.0,74.19999999999999
MT,07_2019,80.0,82.0,75.0,70.0,81.0,75.0,74.3
MT,07_2020,81.0,83.0,75.0,71.0,82.0,75.0,75.1
MT,07_2021,82.0,83.0,75.0,70.0,82.5,75.0,74.75
MT,07_2022,81.0,83.0,73.0,71.0,82.0,73.0,74.69999999999999
MT,07_2023,82.0,84.0,74.0,70.0,83.0,74.0,74.7
NC,07_2015,80.0,83.0,68.0,70.0,81.5,68.0,73.05000000000001
NC,07_2016,81.0,83.0,68.0,70.0,82.0,68.0,73.19999999999999
NC,07_2017,81.0,83.0,68.0,71.0,82.0,68.0,73.69999999999999
NC,07_2018,81.0,83.0,68.0,71.0,82.0,68.0,73.69999999999999
NC,07_2019,81.0,82.0,69.0,70.0,81.5,69.0,73.25
NC,07_2020,82.0,83.0,69.0,71.0,82.5,69.0,74.05
NC,07_2021,81.0,83.0,69.0,71.0,82.0,69.0,73.89999999999999
NC,07_2022,80.0,81.0,64.0,69.0,80.5,64.0,71.45
NC,07_2023,78.0,80.0,63.0,66.0,79.0,63.0,69.30000000000001
ND,07_2015,78.0,81.0,69.0,69.0,79.5,69.0,72.14999999999999
ND,07_2016,81.0,83.0,75.0,72.0,82.0,75.0,75.6
ND,07_2017,83.0,83.0,77.0,73.0,83.0,77.0,76.8
ND,07_2018,84.0,86.0,77.0,75.0,85.0,77.0,78.4
ND,07_2019,85.0,85.0,76.0,76.0,85.0,76.0,78.7
ND,07_2020,85.0,84.0,75.0,77.0,84.5,75.0,78.85
ND,07_2021,85.0,84.0,75.0,78.0,84.5,75.0,79.35
ND,07_2022,85.0,86.0,78.0,76.0,85.5,78.0,79.25
ND,07_2023,82.0,84.0,72.0,73.0,83.0,72.0,75.8
NE,07_2015,83.0,85.0,75.0,76.0,84.0,75.0,78.2
NE,07_2016,84.0,86.0,76.0,79.0,85.0,76.0,80.2
NE,07_2017,84.0,86.0,75.0,79.0,85.0,75.0,80.0
NE,07_2018,84.0,86.0,77.0,79.0,85.0,77.0,80.4
NE,07_2019,83.0,84.0,78.0,77.0,83.5,78.0,79.15
NE,07_2020,85.0,86.0,77.0,79.0,85.5,77.0,80.55000000000001
NE,07_2021,85.0,86.0,77.0,79.0,85.5,77.0,80.55000000000001
NE,07_2022,84.0,85.0,75.0,77.0,84.5,75.0,78.85
NE,07_2023,83.0,84.0,73.0,76.0,83.5,73.0,77.65
NH,07_2015,81.0,82.0,71.0,75.0,81.5,71.0,76.15
NH,07_2016,81.0,81.0,71.0,74.0,81.0,71.0,75.5
NH,07_2017,83.0,83.0,72.0,75.0,83.0,72.0,76.8
NH,07_2018,82.0,81.0,70.0,74.0,81.5,70.0,75.45
NH,07_2019,82.0,82.0,71.0,73.0,82.0,71.0,75.3
NH,07_2020,83.0,81.0,72.0,74.0,82.0,72.0,76.0
NH,07_2021,83.0,82.0,71.0,73.0,82.5,71.0,75.45
NH,07_2022,81.0,79.0,65.0,72.0,80.0,65.0,73.0
NH,07_2023,80.0,78.0,64.0,70.0,79.0,64.0,71.5
NJ,07_2015,77.0,78.0,62.0,67.0,77.5,62.0,69.15
NJ,07_2016,77.0,77.0,61.0,66.0,77.0,61.0,68.3
NJ,07_2017,77.0,77.0,62.0,66.0,77.0,62.0,68.5
NJ,07_2018,78.0,77.0,62.0,67.0,77.5,62.0,69.15
NJ,07_2019,77.0,77.0,61.0,66.0,77.0,61.0,68.3
NJ,07_2020,77.0,76.0,60.0,66.0,76.5,60.0,67.95
NJ,07_2021,77.0,76.0,61.0,66.0,76.5,61.0,68.15
NJ,07_2022,76.0,75.0,58.0,65.0,75.5,58.0,66.75
NJ,07_2023,74.0,74.0,55.0,62.0,74.0,55.0,64.2
NM,07_2015,76.0,80.0,66.0,62.0,78.0,66.0,67.6
NM,07_2016,77.0,78.0,68.0,64.0,77.5,68.0,68.85
NM,07_2017,77.0,79.0,67.0,66.0,78.0,67.0,69.8
NM,07_2018,77.0,78.0,67.0,63.0,77.5,67.0,68.15
NM,07_2019,79.0,80.0,70.0,68.0,79.5,70.0,71.85
NM,07_2020,79.0,78.0,70.0,65.0,78.5,70.0,70.05
NM,07_2021,79.0,79.0,70.0,65.0,79.0,70.0,70.2
NM,07_2022,78.0,78.0,67.0,66.0,78.0,67.0,69.8
NM,07_2023,75.0,77.0,65.0,63.0,76.0,65.0,67.3
NV,07_2015,72.0,74.0,60.0,66.0,73.0,60.0,66.9
NV,07_2016,73.0,75.0,59.0,66.0,74.0,59.0,67.0
NV,07_2017,73.0,74.0,61.0,66.0,73.5,61.0,67.25
NV,07_2018,75.0,76.0,62.0,68.0,75.5,62.0,69.05
NV,07_2019,74.0,72.0,64.0,66.0,73.0,64.0,67.7
NV,07_2020,78.0,76.0,69.0,70.0,77.0,69.0,71.89999999999999
NV,07_2021,78.0,77.0,69.0,71.0,77.5,69.0,72.55
NV,07_2022,74.0,74.0,62.0,65.0,74.0,62.0,67.10000000000001
NV,07_2023,74.0,73.0,64.0,65.0,73.5,64.0,67.35
NY,07_2015,76.0,78.0,61.0,66.0,77.0,61.0,68.3
NY,07_2016,76.0,77.0,62.0,66.0,76.5,62.0,68.35000000000001
NY,07_2017,77.0,78.0,63.0,66.0,77.5,63.0,68.85
NY,07_2018,77.0,78.0,64.0,67.0,77.5,64.0,69.55
NY,07_2019,77.0,78.0,63.0,66.0,77.5,63.0,68.85
NY,07_2020,77.0,78.0,63.0,66.0,77.5,63.0,68.85
NY,07_2021,78.0,78.0,63.0,66.0,78.0,63.0,69.0
NY,07_2022,77.0,76.0,60.0,65.0,76.5,60.0,67.45
NY,07_2023,74.0,75.0,58.0,62.0,74.5,58.0,64.94999999999999
OH,07_2015,81.0,81.0,71.0,72.0,81.0,71.0,74.5
OH,07_2016,82.0,81.0,70.0,72.0,81.5,70.0,74.45
OH,07_2017,82.0,81.0,71.0,72.0,81.5,71.0,74.65
OH,07_2018,82.0,81.0,70.0,72.0,81.5,70.0,74.45
OH,07_2019,82.0,80.0,70.0,71.0,81.0,70.0,73.8
OH,07_2020,83.0,81.0,71.0,73.0,82.0,71.0,75.3
OH,07_2021,83.0,81.0,70.0,73.0,82.0,70.0,75.1
OH,07_2022,81.0,79.0,66.0,71.0,80.0,66.0,72.7
OH,07_2023,80.0,78.0,64.0,69.0,79.0,64.0,71.0
OK,07_2015,80.0,84.0,72.0,70.0,82.0,72.0,74.0
OK,07_2016,81.0,85.0,72.0,71.0,83.0,72.0,74.8
OK,07_2017,81.0,84.0,72.0,73.0,82.5,72.0,75.65
OK,07_2018,81.0,84.0,74.0,74.0,82.5,74.0,76.55
OK,07_2019,81.0,83.0,74.0,72.0,82.0,74.0,75.39999999999999
OK,07_2020,82.0,84.0,74.0,73.0,83.0,74.0,76.2
OK,07_2021,82.0,84.0,75.0,74.0,83.0,75.0,76.9
OK,07_2022,81.0,82.0,70.0,73.0,81.5,70.0,74.95
OK,07_2023,80.0,81.0,70.0,71.0,80.5,70.0,73.65
OR,07_2015,79.0,81.0,67.0,72.0,80.0,67.0,73.4
OR,07_2016,79.0,81.0,69.0,72.0,80.0,69.0,73.8
OR,07_2017,80.0,81.0,70.0,73.0,80.5,70.0,74.65
OR,07_2018,80.0,81.0,70.0,74.0,80.5,70.0,75.15
OR,07_2019,81.0,82.0,72.0,74.0,81.5,72.0,75.85000000000001
OR,07_2020,82.0,83.0,73.0,75.0,82.5,73.0,76.85
OR,07_2021,82.0,82.0,73.0,74.0,82.0,73.0,76.19999999999999
OR,07_2022,81.0,81.0,69.0,74.0,81.0,69.0,75.1
OR,07_2023,79.0,79.0,67.0,71.0,79.0,67.0,72.60000000000001
PA,07_2015,80.0,80.0,68.0,70.0,80.0,68.0,72.6
PA,07_2016,80.0,80.0,67.0,70.0,80.0,67.0,72.4
PA,07_2017,81.0,80.0,68.0,70.0,80.5,68.0,72.75
PA,07_2018,81.0,81.0,68.0,70.0,81.0,68.0,72.9
PA,07_2019,81.0,81.0,69.0,70.0,81.0,69.0,73.1
PA,07_2020,82.0,81.0,70.0,70.0,81.5,70.0,73.45
PA,07_2021,82.0,81.0,70.0,70.0,81.5,70.0,73.45
PA,07_2022,81.0,80.0,67.0,70.0,80.5,67.0,72.55
PA,07_2023,79.0,78.0,64.0,68.0,78.5,64.0,70.35
RI,07_2015,80.0,80.0,66.0,72.0,80.0,66.0,73.2
RI,07_2016,80.0,81.0,68.0,73.0,80.5,68.0,74.25
RI,07_2017,82.0,82.0,68.0,73.0,82.0,68.0,74.69999999999999
RI,07_2018,82.0,81.0,68.0,74.0,81.5,68.0,75.05000000000001
RI,07_2019,81.0,81.0,67.0,73.0,81.0,67.0,74.2
RI,07_2020,82.0,81.0,68.0,74.0,81.5,68.0,75.05000000000001
RI,07_2021,82.0,81.0,67.0,75.0,81.5,67.0,75.35000000000001
RI,07_2022,79.0,79.0,64.0,72.0,79.0,64.0,72.5
RI,07_2023,79.0,79.0,62.0,70.0,79.0,62.0,71.10000000000001
SC,07_2015,81.0,84.0,68.0,70.0,82.5,68.0,73.35
SC,07_2016,81.0,83.0,68.0,71.0,82.0,68.0,73.69999999999999
SC,07_2017,81.0,84.0,68.0,71.0,82.5,68.0,73.85
SC,07_2018,81.0,84.0,69.0,71.0,82.5,69.0,74.05
SC,07_2019,81.0,83.0,69.0,71.0,82.0,69.0,73.89999999999999
SC,07_2020,81.0,82.0,68.0,71.0,81.5,68.0,73.55000000000001
SC,07_2021,81.0,83.0,68.0,71.0,82.0,68.0,73.69999999999999
SC,07_2022,80.0,82.0,65.0,69.0,81.0,65.0,71.8
SC,07_2023,79.0,81.0,63.0,67.0,80.0,63.0,70.1
SD,07_2015,82.0,84.0,74.0,76.0,83.0,74.0,77.7
SD,07_2016,83.0,86.0,77.0,77.0,84.5,77.0,79.25
SD,07_2017,85.0,86.0,78.0,79.0,85.5,78.0,80.75
SD,07_2018,84.0,86.0,78.0,78.0,85.0,78.0,80.1
SD,07_2019,83.0,83.0,80.0,77.0,83.0,80.0,79.4
SD,07_2020,85.0,86.0,79.0,81.0,85.5,79.0,81.95
SD,07_2021,85.0,87.0,80.0,82.0,86.0,80.0,82.8
SD,07_2022,85.0,87.0,78.0,79.0,86.0,78.0,80.9
SD,07_2023,84.0,85.0,76.0,76.0,84.5,76.0,78.55
TN,07_2015,80.0,83.0,69.0,70.0,81.5,69.0,73.25
TN,07_2016,80.0,83.0,69.0,71.0,81.5,69.0,73.75
TN,07_2017,81.0,83.0,69.0,71.0,82.0,69.0,73.89999999999999
TN,07_2018,81.0,83.0,71.0,71.0,82.0,71.0,74.3
TN,07_2019,81.0,83.0,72.0,72.0,82.0,72.0,75.0
TN,07_2020,81.0,81.0,70.0,70.0,81.0,70.0,73.3
TN,07_2021,81.0,82.0,70.0,70.0,81.5,70.0,73.45
TN,07_2022,79.0,81.0,66.0,69.0,80.0,66.0,71.7
TN,07_2023,79.0,81.0,65.0,67.0,80.0,65.0,70.5
TX,07_2015,80.0,84.0,70.0,74.0,82.0,70.0,75.6
TX,07_2016,80.0,83.0,70.0,74.0,81.5,70.0,75.45
TX,07_2017,81.0,83.0,70.0,74.0,82.0,70.0,75.6
TX,07_2018,81.0,83.0,72.0,76.0,82.0,72.0,77.0
TX,07_2019,81.0,82.0,72.0,74.0,81.5,72.0,75.85000000000001
TX,07_2020,82.0,83.0,72.0,74.0,82.5,72.0,76.15
TX,07_2021,82.0,83.0,72.0,74.0,82.5,72.0,76.15
TX,07_2022,79.0,81.0,67.0,73.0,80.0,67.0,73.9
TX,07_2023,80.0,80.0,68.0,72.0,80.0,68.0,73.6
UT,07_2015,79.0,83.0,70.0,77.0,81.0,70.0,76.8
UT,07_2016,80.0,84.0,69.0,77.0,82.0,69.0,76.89999999999999
UT,07_2017,79.0,83.0,68.0,77.0,81.0,68.0,76.4
UT,07_2018,79.0,82.0,71.0,77.0,80.5,71.0,76.85
UT,07_2019,81.0,82.0,71.0,77.0,81.5,71.0,77.15
UT,07_2020,81.0,83.0,71.0,76.0,82.0,71.0,76.8
UT,07_2021,81.0,84.0,71.0,76.0,82.5,71.0,76.95
UT,07_2022,82.0,84.0,70.0,76.0,83.0,70.0,76.9
UT,07_2023,81.0,83.0,69.0,76.0,82.0,69.0,76.39999999999999
VA,07_2015,79.0,81.0,65.0,70.0,80.0,65.0,72.0
VA,07_2016,79.0,81.0,65.0,70.0,80.0,65.0,72.0
VA,07_2017,80.0,82.0,66.0,70.0,81.0,66.0,72.5
VA,07_2018,80.0,81.0,66.0,70.0,80.5,66.0,72.35
VA,07_2019,80.0,81.0,67.0,70.0,80.5,67.0,72.55
VA,07_2020,80.0,81.0,67.0,70.0,80.5,67.0,72.55
VA,07_2021,80.0,81.0,66.0,70.0,80.5,66.0,72.35
VA,07_2022,79.0,79.0,62.0,69.0,79.0,62.0,70.60000000000001
VA,07_2023,78.0,79.0,61.0,68.0,78.5,61.0,69.75
VT,07_2015,81.0,82.0,72.0,76.0,81.5,72.0,76.85000000000001
VT,07_2016,80.0,82.0,70.0,74.0,81.0,70.0,75.3
VT,07_2017,82.0,83.0,71.0,74.0,82.5,71.0,75.95
VT,07_2018,82.0,84.0,72.0,73.0,83.0,72.0,75.8
VT,07_2019,82.0,83.0,70.0,74.0,82.5,70.0,75.75
VT,07_2020,83.0,84.0,72.0,75.0,83.5,72.0,76.95
VT,07_2021,84.0,85.0,73.0,76.0,84.5,73.0,77.94999999999999
VT,07_2022,83.0,83.0,72.0,76.0,83.0,72.0,77.3
VT,07_2023,81.0,81.0,68.0,70.0,81.0,68.0,72.9
WA,07_2015,78.0,80.0,67.0,72.0,79.0,67.0,73.10000000000001
WA,07_2016,78.0,80.0,65.0,72.0,79.0,65.0,72.7
WA,07_2017,78.0,80.0,66.0,73.0,79.0,66.0,73.4
WA,07_2018,79.0,81.0,67.0,72.0,80.0,67.0,73.4
WA,07_2019,79.0,81.0,68.0,72.0,80.0,68.0,73.6
WA,07_2020,80.0,81.0,69.0,72.0,80.5,69.0,73.95
WA,07_2021,80.0,81.0,69.0,73.0,80.5,69.0,74.45
WA,07_2022,80.0,81.0,67.0,73.0,80.5,67.0,74.05
WA,07_2023,78.0,79.0,64.0,68.0,78.5,64.0,70.35
WI,07_2015,83.0,84.0,73.0,75.0,83.5,73.0,77.15
WI,07_2016,82.0,83.0,73.0,75.0,82.5,73.0,76.85
WI,07_2017,83.0,84.0,74.0,76.0,83.5,74.0,77.85
WI,07_2018,84.0,84.0,74.0,76.0,84.0,74.0,78.0
WI,07_2019,83.0,84.0,74.0,76.0,83.5,74.0,77.85
WI,07_2020,84.0,83.0,74.0,76.0,83.5,74.0,77.85
WI,07_2021,84.0,83.0,74.0,76.0,83.5,74.0,77.85
WI,07_2022,83.0,82.0,71.0,74.0,82.5,71.0,75.95
WI,07_2023,82.0,81.0,69.0,72.0,81.5,69.0,74.25
WV,07_2015,79.0,82.0,68.0,66.0,80.5,68.0,70.75
WV,07_2016,79.0,82.0,68.0,67.0,80.5,68.0,71.25
WV,07_2017,80.0,82.0,68.0,69.0,81.0,68.0,72.4
WV,07_2018,81.0,83.0,72.0,71.0,82.0,72.0,74.5
WV,07_2019,81.0,83.0,72.0,70.0,82.0,72.0,74.0
WV,07_2020,81.0,81.0,72.0,69.0,81.0,72.0,73.2
WV,07_2021,82.0,82.0,72.0,69.0,82.0,72.0,73.5
WV,07_2022,81.0,80.0,71.0,70.0,80.5,71.0,73.35
WV,07_2023,79.0,79.0,68.0,68.0,79.0,68.0,71.30000000000001
WY,07_2015,79.0,82.0,72.0,66.0,80.5,72.0,71.55
WY,07_2016,79.0,82.0,74.0,67.0,80.5,74.0,72.45
WY,07_2017,79.0,82.0,73.0,67.0,80.5,73.0,72.25
WY,07_2018,81.0,82.0,75.0,69.0,81.5,75.0,73.95
WY,07_2019,80.0,80.0,76.0,70.0,80.0,76.0,74.2
WY,07_2020,82.0,83.0,78.0,71.0,82.5,78.0,75.85
WY,07_2021,82.0,83.0,78.0,70.0,82.5,78.0,75.35
WY,07_2022,81.0,81.0,74.0,69.0,81.0,74.0,73.6
WY,07_2023,81.0,80.0,74.0,70.0,80.5,74.0,73.95
